Original_Name,Standard_Name,DrugBank_ID,KEGG_Drug_ID,DrugType,Synonyms,Mechanism,TargetProteins,TargetGenes,AssociatedPathways,Indication,ClinicalStatus,ApprovalAgency,Drug_URL,EvidenceLevel,IsMPMRelevant,DataSource,Normalization_Status,Remark
Erlotinib,Erlotinib,DB00530,D04023,Small molecule,Tarceva; OSI-774,EGFR tyrosine kinase inhibitor blocking EGFR-mediated signaling,Epidermal growth factor receptor,EGFR,EGFR signaling pathway; MAPK signaling pathway; PI3K-AKT signaling pathway,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB00530,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Gefitinib,Gefitinib,DB00317,D01977,Small molecule,Iressa; ZD1839,EGFR tyrosine kinase inhibitor inhibiting downstream proliferation signaling,Epidermal growth factor receptor,EGFR,EGFR signaling pathway; MAPK signaling pathway,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB00317,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Dasatinib,Dasatinib,DB01254,D06409,Small molecule,Sprycel; BMS-354825,Multi-kinase inhibitor targeting Src family kinases and related signaling proteins,Proto-oncogene tyrosine-protein kinase Src; ABL1,SRC; ABL1,MAPK signaling pathway; PI3K-AKT signaling pathway,Cancer; Experimental mesothelioma studies,Approved,FDA,https://go.drugbank.com/drugs/DB01254,Medium,Yes,DrugBank; PubMed,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Crizotinib,Crizotinib,DB08865,D09731,Small molecule,Xalkori; PF-02341066,Tyrosine kinase inhibitor targeting ALK and MET signaling,ALK tyrosine kinase receptor; Hepatocyte growth factor receptor,ALK; MET,PI3K-AKT signaling pathway; MAPK signaling pathway,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB08865,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Vorinostat,Vorinostat,DB02546,D01902,Small molecule,SAHA; Suberoylanilide hydroxamic acid,Histone deacetylase inhibitor affecting chromatin remodeling and gene expression,Histone deacetylase 1; Histone deacetylase 2; Histone deacetylase 3,HDAC1; HDAC2; HDAC3,Epigenetic regulation; Apoptosis,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB02546,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Tazemetostat,Tazemetostat,DB15046,D11843,Small molecule,Tazverik; EPZ-6438,EZH2 methyltransferase inhibitor altering histone methylation,Enhancer of zeste homolog 2,EZH2,Epigenetic regulation,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB15046,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Lenvatinib,Lenvatinib,DB09078,D09968,Small molecule,Lenvima; E7080,Multi-target receptor tyrosine kinase inhibitor affecting angiogenesis signaling,Vascular endothelial growth factor receptor 1; VEGFR2; VEGFR3,FLT1; KDR; FLT4,VEGF signaling pathway; MAPK signaling pathway,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB09078,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Sorafenib,Sorafenib,DB00398,D08567,Small molecule,Nexavar; BAY 43-9006,Multi-kinase inhibitor blocking RAF and receptor tyrosine kinase signaling,RAF proto-oncogene serine/threonine-protein kinase; VEGFR; PDGFR,BRAF; KDR; PDGFRA,MAPK signaling pathway; VEGF signaling pathway,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB00398,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Pazopanib,Pazopanib,DB06589,D07479,Small molecule,Votrient; GW786034,VEGFR tyrosine kinase inhibitor suppressing angiogenesis,Vascular endothelial growth factor receptor 2; PDGFR; KIT,KDR; PDGFRA; KIT,VEGF signaling pathway; PI3K-AKT signaling pathway,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB06589,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Axitinib,Axitinib,DB06626,D09590,Small molecule,Inlyta; AG-013736,Selective VEGFR tyrosine kinase inhibitor inhibiting angiogenesis,Vascular endothelial growth factor receptor 1; VEGFR2; VEGFR3,FLT1; KDR; FLT4,VEGF signaling pathway,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB06626,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
